10.6	0	-2.5	0
10.7	0	-2.3	0
10.9	0	0	0
11.2	0	0.5	0.4
11	0	1.4	0.2
10.9	0	6.6	0.1
10.7	0	4.9	0.3
10.7	0	2.8	0.1
9.4	0	2.8	1.5
7.4	0	3.9	2.2
7.7	0	2.2	0
7.7	0	3.7	0.2
7.4	0	6.7	0.4
6	0	9.1	1.9
6.3	0	8	0.1
6.8	0	3.9	0
3.6	0	5.5	3.2
3.5	0	3.5	1
3.5	0	5.1	0.5
0	0.9	8.3	4.7
0.1	0	10.6	0.2
0	0.7	8.4	1.9
0	5.9	9.1	6.9
0.3	0	8.6	0.2
0	5.4	6	6.7
0	11.7	7.3	11.8
0	6	10.2	7
0	0.9	10	3
0.7	0	9.7	0
0	0.8	10.1	1.9
0	3.1	8.1	4.6
0	0.3	8.3	0.3
0	0.7	12.1	2.4
0	10.4	9.4	11.2
0	10.2	7.8	10.9
0	1.5	9.2	2
0.9	0	6.7	0.1
1	0	6	1
0.8	0	7.9	0.5
0	0.2	10.2	2.4
1.4	0	8.9	0.2
0	0.1	9.7	1.6
0.8	0	10.7	0.1
0	1.3	7.8	2.8
1	0	5.3	0.1
1.4	0	3	0
1.8	0	4.6	0
1.2	0	3.3	1.1
1.6	0	4.7	0.1
0	5.2	7.8	8
0	0.3	9	2.4
0.4	0	5.8	1.2
0.5	0	7.6	0.1
1	0	5.6	0.5
0	5.7	5.8	7.9
0	11.7	7.7	11.8
0.4	0	9.4	1.5
1.6	0	5.5	0
2.6	0	6	0
3	0	2.7	0
3.6	0	3.4	0
3.9	0	6.1	0
4.1	0	7	0
4.9	0	7.6	0
5.8	0	8	0
7.3	0	11.6	0
8	0	9.7	0.2
9.3	0	6.4	0
3.9	0	5.7	6.2
3.4	0	9.2	1.6
0	0.1	7.3	4.3
0.6	0	5.3	0
0	2.8	4.6	5
0	3.3	6	4
0	3.8	9.7	4.8
0	2.9	10.6	4.1
0	6.9	9.1	8.2
0	1.1	9.1	2.4
0	0.5	10.8	1.6
1.5	0	12.6	0.1
2.3	0	11.2	0.1
3.8	0	9.4	0
5.1	0	6.7	0
6.3	0	8.3	0
8	0	8.2	0
9.2	0	5.5	0
10.7	0	6.8	0
12.2	0	8.5	0
13.7	0	8.9	0.3
15	0	9.4	0.1
16.6	0	11.8	0
18.1	0	12.8	0.8
20.8	0	13.3	0
23	0	12.4	0
25.4	0	11.2	0
29	0	8.8	0
31.5	0	8.2	0
33.6	0	7.8	0
34.6	0	5.3	0
37.3	0	8.4	0
39.4	0	7.3	0
41.4	0	6.7	0
42.5	0	6.3	0.2
43.5	0	5.7	0.1
45	0	9.4	0
