0	16.43	4.44	16.43
3.20349	0.424	3.59	0.424
4.95216	0	-0.91	1.14
0	22.552	0.04	21.412
0	8.056	4.99	8.056
2.1594	0	2.59	0
3.81087	0	0.94	0
5.18003	0	-1.61	0
6.42026	0	-2.06	0
7.55309	0	-2.51	0
8.59058	0	-5.21	0
9.54142	0	-8.36	2.185
10.413	0	-8.61	0.665
11.2119	0	-5.96	0.095
11.9442	0	-3.26	1.14
12.6156	0	-1.56	0
13.2309	0	-1.56	0
13.795	0	-3.16	0
14.3121	0	-4.51	3.61
14.7861	0	-1.31	2.375
12.4025	10.176	2.74	0.106
13.5023	0	3.99	0
14.1557	0.212	2.24	0.212
15.0341	0	2.79	0
16.1046	0	3.69	0
16.752	0	1.79	0
17.225	0	0.74	0
17.5796	0	0.09	0
17.9796	0	0.64	0
18.2674	0	-2.31	0
18.5313	0	-4.71	0
18.7731	0	-3.26	1.14
18.9949	0	-3.06	4.56
16.5995	3.71456	1.59	0.318
16.8995	0.212	1.44	0.212
16.9701	1.33695	4.34	1.696
18.4528	0.106	7.89	0.106
13.8892	8.95626	4.24	14.734
12.2015	8.23268	3.99	9.116
6.47395	24.38	6.29	24.38
7.13716	4.876	4.69	4.876
8.5893	0.424	2.54	0.424
9.821	0	2.84	0
10.7705	0	0.89	0
11.6734	0	0.94	0
12.3873	0	-1.01	0
13.0422	0	-0.11	0
13.6425	0	-1.01	0.76
13.8144	0.76	-0.51	0
14.3265	0	-1.61	0
14.8046	0	-0.01	0
15.2392	0	-0.71	0.19
15.4314	1.038	1.99	0.848
15.9808	0.212	2.49	0.212
16.3054	0	-0.41	0
16.62	0	-1.36	0
16.9109	0	-0.71	15.96
12.247	10.2893	3.59	3.604
13.037	3.038	9.49	0.848
11.2087	8.62645	7.44	10.388
12.6758	0	7.74	0
13.547	0	2.74	0
14.0766	0	-2.16	2.09
13.885	1.62884	-0.31	12.54
9.05015	17.464	2.24	9.116
9.74247	2.37	-0.21	1.71
10.8838	0	-1.66	7.98
11.6063	0.42	-0.86	0.95
12.3361	0	-1.16	2.28
12.9051	0.27	-0.91	0.57
13.1636	1.17	-0.61	0
11.8242	5.1852	1.29	0
11.0672	5.644	0.74	0.424
12.1423	0.01	2.24	0
11.1849	4.87735	3.19	6.36
11.6536	2.12	3.64	2.12
10.6188	6.87445	3.89	6.996
11.6063	0	0.99	0
12.4141	0	0.74	0
12.9469	0.636	1.54	0.636
12.0109	3.7012	1.74	5.512
12.205	2.62407	4.34	2.968
7.99279	13.4451	3.39	17.596
9.50851	0.636	4.19	0.636
0.812436	23.2915	4.59	34.344
0	21.2	7.14	21.2
0	2.332	5.79	2.332
1.8461	0.636	1.79	0.636
3.82496	0	3.79	0
2.79085	7.3569	7.09	9.328
2.96802	6.148	6.49	6.148
4.61116	0	1.54	0
5.68145	1.484	2.79	1.484
5.72299	4.69572	4.94	5.088
7.06481	0.424	3.44	0.424
8.05752	1.06	3.49	1.06
3.73432	15.9023	4.24	19.08
5.64997	0.636	4.94	0.636
4.68961	8.91979	6.14	9.328
1.33543	17.808	5.74	17.808
3.7029	0	5.24	0
5.42211	0	3.54	0
7.68317	0.424	7.54	0.424
10.5416	0	9.14	0
13.6108	0	10.39	0
16.4722	0	9.84	0
19.161	0	9.44	0
21.0465	0.946527	12.99	1.696
16.208	7.15207	12.39	9.752
16.9705	1.06	9.44	1.06
18.7377	0	7.39	0
21.0071	0	8.94	0
23.2946	0	9.14	0
26.0148	0	11.44	0
28.648	0	11.29	0
30.7949	0	9.19	0
33.5025	0	12.14	0
36.1902	0	12.29	0
35.4728	0.541104	12.89	4.028
36.6363	0.511977	14.49	1.696
35.6005	0.484213	10.99	3.604
31.1534	2.38731	6.09	6.148
31.1087	0.636	5.74	0.636
31.6787	0	3.39	0
33.4737	0	8.69	0
35.2854	0	8.79	0
37.6067	0	11.39	0
39.9687	0	11.74	0
42.48	0	12.64	0
41.1855	0.288413	8.44	3.392
28.8881	5.34724	9.09	20.988
28.0648	0.859262	7.74	1.484
25.2623	2.28735	4.69	6.148
22.4795	2.50699	7.44	6.784
18.7238	3.42086	5.09	7.844
17.237	1.89418	4.54	3.604
16.1536	2.22536	6.34	3.816
17.3324	0	6.89	0
18.5529	0	5.24	0
20.0059	0	6.19	0
20.8988	0.330056	9.69	1.484
18.069	2.88498	6.44	6.36
